Fe_pred,S_pred,Cu_pred,MET_pred
12.84,3.42,0.03,0.27
12.86,3.41,0.03,0.27
12.88,3.41,0.03,0.27
12.9,3.41,0.03,0.27
12.91,3.41,0.03,0.27
18.39,3.9,0.07,0.25
17.4,3.49,0.07,0.26
15.27,3.08,0.04,0.27
15.29,3.09,0.04,0.27
15.22,3.06,0.05,0.27
14.12,2.54,0.05,0.28
16.48,2.66,0.07,0.28
16.45,2.65,0.07,0.28
65.14,3.75,0.11,0.05
65.11,3.78,0.11,0.05
65.08,3.81,0.11,0.05
65.05,3.83,0.11,0.05
59.12,3.7,0.11,0.08
50.96,3.12,0.09,0.11
50.0,2.99,0.09,0.11
50.0,3.0,0.09,0.11
50.01,3.02,0.09,0.11
50.02,3.03,0.09,0.11
50.03,3.04,0.09,0.11
50.05,3.05,0.09,0.11
50.07,3.07,0.09,0.11
50.09,3.08,0.09,0.11
49.74,3.04,0.09,0.11
51.01,3.26,0.09,0.11
53.82,3.96,0.09,0.1
53.82,3.99,0.09,0.1
53.81,4.03,0.09,0.1
53.81,4.06,0.1,0.1
53.79,4.09,0.1,0.1
53.77,4.14,0.1,0.1
53.74,4.2,0.1,0.1
53.7,4.25,0.1,0.1
53.64,4.3,0.1,0.1
53.61,4.35,0.1,0.1
53.55,4.4,0.1,0.1
53.5,4.46,0.1,0.1
53.91,4.66,0.1,0.1
60.82,4.22,0.1,0.07
60.82,4.28,0.1,0.07
60.82,4.35,0.1,0.07
60.82,4.42,0.11,0.07
60.78,4.48,0.11,0.07
60.74,4.53,0.11,0.07
60.66,4.57,0.11,0.07
60.58,4.61,0.11,0.07
60.49,4.67,0.11,0.07
60.41,4.73,0.11,0.07
60.34,4.81,0.11,0.07
60.28,4.89,0.11,0.07
60.2,4.95,0.11,0.07
60.13,5.01,0.11,0.07
60.05,5.05,0.11,0.07
59.97,5.1,0.11,0.07
12.22,3.17,0.02,0.28
12.23,3.15,0.02,0.28
12.25,3.13,0.02,0.28
12.67,3.43,0.02,0.27
12.7,3.41,0.02,0.27
12.73,3.4,0.02,0.27
12.75,3.39,0.03,0.27
12.76,3.39,0.03,0.27
12.79,3.39,0.03,0.27
12.8,3.39,0.03,0.27
12.83,3.39,0.03,0.27
18.45,3.91,0.07,0.25
17.36,3.49,0.07,0.26
17.35,3.48,0.07,0.26
15.21,3.07,0.04,0.27
15.23,3.07,0.04,0.27
15.16,3.05,0.05,0.27
17.73,3.07,0.07,0.26
17.69,3.06,0.07,0.27
17.67,3.06,0.07,0.27
65.22,3.75,0.11,0.05
65.19,3.78,0.11,0.05
65.17,3.8,0.11,0.05
65.14,3.83,0.11,0.05
59.22,3.68,0.11,0.08
49.91,2.99,0.09,0.11
49.92,3.0,0.09,0.11
49.92,3.01,0.09,0.11
49.92,3.02,0.09,0.11
49.94,3.03,0.09,0.11
49.95,3.05,0.09,0.11
49.97,3.06,0.09,0.11
49.99,3.08,0.09,0.11
50.01,3.09,0.09,0.11
51.2,3.12,0.09,0.11
51.89,3.44,0.09,0.11
53.86,3.98,0.09,0.1
53.86,4.02,0.1,0.1
53.85,4.05,0.1,0.1
53.82,4.08,0.1,0.1
53.79,4.13,0.1,0.1
53.74,4.18,0.1,0.1
53.7,4.23,0.1,0.1
53.65,4.28,0.1,0.1
53.61,4.33,0.1,0.1
53.56,4.37,0.1,0.1
53.51,4.44,0.1,0.1
56.16,4.17,0.1,0.09
60.89,4.19,0.1,0.07
60.88,4.26,0.1,0.07
60.87,4.33,0.1,0.07
60.84,4.4,0.11,0.07
60.8,4.46,0.11,0.07
60.78,4.51,0.11,0.07
60.77,4.56,0.11,0.07
60.7,4.6,0.11,0.07
60.62,4.66,0.11,0.07
60.53,4.72,0.11,0.07
60.46,4.79,0.11,0.07
60.39,4.87,0.11,0.07
60.33,4.93,0.11,0.07
60.25,4.98,0.11,0.07
60.16,5.03,0.11,0.07
60.08,5.08,0.11,0.07
12.11,3.17,0.02,0.28
12.13,3.16,0.02,0.28
12.14,3.14,0.02,0.28
12.56,3.43,0.02,0.27
12.59,3.42,0.02,0.27
12.62,3.4,0.03,0.27
12.64,3.39,0.03,0.27
12.67,3.38,0.03,0.27
12.69,3.36,0.03,0.27
12.71,3.37,0.03,0.27
12.73,3.36,0.03,0.27
18.52,3.92,0.07,0.25
18.45,3.91,0.07,0.25
17.32,3.48,0.08,0.26
15.12,3.05,0.04,0.27
15.15,3.06,0.04,0.27
15.08,3.04,0.05,0.27
17.72,3.06,0.07,0.27
17.69,3.06,0.07,0.27
17.67,3.05,0.07,0.27
17.64,3.04,0.07,0.27
