DDH;ESTE_X;NORTE_Y;COTA_Z;Fe;S;Cu;MET;Al;Sc;Ca;Y;Sr;Mg;Ba;K;Litologia;Lito_code
ODH-03;189675.7616;8439084.398;3714.385333;61.01;3.305;0.30252;0.075905;2;0.25;0.055;2.1;7.875;0.398;17.75;0.337;MG;5
ODH-03;189674.7579;8439085.513;3711.787256;61.975;1.76;0.168255;0.07777;1.525;0.25;0.07;4.25;6.75;0.45;44.5;0.39;MG;5
ODH-03;189673.7543;8439086.628;3709.18918;58.335;2.925;0.473205;0.070365;2.15;0.25;0.1;4.55;13.3;0.71;15;0.34;MG;5
ODH-03;189672.7506;8439087.742;3706.591104;58.785;3.645;0.471095;0.084245;1.945;0.25;0.1;11.45;14.55;0.68;18.5;0.26;MG;5
ODH-03;189671.7469;8439088.857;3703.993028;62.06;3.675;0.24547;0.091045;1.255;0.25;0.11;12.15;6.1;0.85;14.5;0.215;MG;5
ODH-03;189670.7432;8439089.972;3701.394952;53.77;2.02;0.07009;0.138675;2.165;0.575;0.275;11.1;16.85;1.9;70.5;0.88;MG;5
ODH-03;189669.7395;8439091.086;3698.796875;59.005;4.745;0.142855;0.07931;0.885;0.25;0.24;4.55;6.8;0.98;13;0.41;MG;5
ODH-03;189668.7358;8439092.201;3696.198799;60.04;4.515;0.130295;0.07279;0.965;0.25;0.195;3.3;6.8;0.875;19.5;0.525;MG;5
ODH-03;189667.7321;8439093.316;3693.600723;57.06;3.56;0.123885;0.095735;1.33;0.25;0.62;2.75;8.95;1.735;56.5;0.76;MG;5
ODH-03;189666.7284;8439094.431;3691.002647;50.52;2.57;0.10292;0.0899325;1.392;0.25;4.542;3.3;57.5;1.768;51.25;0.898;MG;5
ODH-03;189665.6661;8439095.61;3688.253016;10.86;2.83;0.03898;0.16309;3.96;4.3;14.3;9.3;203.5;4.31;132;2.27;INT;3
ODH-03;189664.6123;8439096.781;3685.525036;38.792;5.557;0.1285246;0.1459273;2.058;1.602;4.35;7.386;38.005;2.271;48.593;0.934;MG;5
ODH-03;189663.6169;8439097.886;3682.94861;41.365;3.405;0.0318;0.11579;2.115;1.625;3.525;8.2;36.7;1.91;60;0.925;MG;5
ODH-03;189662.6132;8439099.001;3680.350534;52.935;4.985;0.011835;0.06201;0.94;0.25;2.795;4.3;16.95;0.84;42;0.33;MG;5
ODH-03;189661.8605;8439099.837;3678.401977;52.96;3.12;0.03654;0.04888;0.96;0.25;3.05;2.1;14.6;0.91;78;0.39;MG;5
ODH-03;189661.3252;8439100.431;3677.016336;48.37;3.51;0.11391;0.05957;0.91;0.25;5.68;3.1;169.2;1.02;70;0.4;MG;5
