DDH;From;To;Fe;S;Cu;MET Total;Litologia;AI;DG;;;
ODH-03;109.5;111;60.67;2.25;0.48506;670.8;MG;1.5;;;;
ODH-03;111;112.5;56;3.6;0.46135;736.5;MG;1.5;;;;
ODH-03;112.5;114;58.65;3.68;0.64669;750.2;MG;1.5;;;;
ODH-03;114;115.5;58.92;3.61;0.2955;934.7;MG;1.5;;;;
ODH-03;115.5;117;62.98;3.86;0.36269;795.3;MG;1.5;;;;
ODH-03;117;118.5;61.14;3.49;0.12825;1025.6;MG;1.5;;;;
ODH-03;118.5;120;53.81;2.33;0.03029;1580.3;MG;1.5;;;;
ODH-03;120;121.5;53.73;1.71;0.10989;1193.2;MG;1.5;;;;
ODH-03;121.5;123;58.85;4.64;0.18194;896.5;MG;1.5;;;;
ODH-03;123;124.5;59.16;4.85;0.10377;689.7;MG;1.5;;;;
ODH-03;124.5;126;59.42;5.03;0.1015;711.5;MG;1.5;;;;
ODH-03;126;127.5;60.66;4;0.15909;744.3;MG;1.5;;;;
ODH-03;127.5;129;58.24;4.08;0.16907;999.1;MG;1.5;;;;
ODH-03;129;130.5;55.88;3.04;0.0787;915.6;MG;1.5;;;;
ODH-03;130.5;132;58.79;4.11;0.16115;1037.6;MG;1.5;;;;
ODH-03;132;133.5;44.04;0.96;0.04217;778.8;INT;1.5;;;;
ODH-03;133.5;136.85;10.86;2.83;0.03898;1630.9;INT;3.35;;;;
ODH-03;136.85;138.35;48.77;5.41;0.15895;877.7;MG;1.5;;;;
ODH-03;138.35;139.8;28.47;5.71;0.09705;2060.9;MG;1.45;;;;
ODH-03;139.8;141.3;35.27;3.56;0.03011;1639.9;MG;1.5;;;;
ODH-03;141.3;142.8;47.46;3.25;0.03349;675.9;MG;1.5;;;;
ODH-03;142.8;144.3;51.1;4.6;0.01793;618.7;MG;1.5;;;;
ODH-03;144.3;145.8;54.77;5.37;0.00574;621.5;MG;1.5;;;;
ODH-03;145.8;147.3;52.96;3.12;0.03654;488.8;MG;1.5;;;;
ODH-03;147.3;149;48.37;3.51;0.11391;595.7;MG;1.7;;;;
ODH-03;149;153.55;-1;-1;-1;-1;INT;4.55;;;;
ODH-03;153.55;155;50.28;2.3;0.0958;717.7;MG;1.45;;;;
ODH-03;155;156.5;53.78;2.53;0.09863;636;MG;1.5;;;;
ODH-03;156.5;158;7.58;4.98;0.11976;2711.1;MG;1.5;;;;
ODH-03;158;159.5;12.01;11.2;0.05566;2021;MG;1.5;;;;
ODH-03;159.5;161;7.5;7.46;0.01023;2034.7;MG;1.5;;;;
ODH-03;161;162.5;10.82;10.1;0.14808;2201.4;MG;1.5;;;;
ODH-03;162.5;164;7.47;3.84;0.07588;2155.6;MG;1.5;;;;
ODH-03;164;165.5;18.6;2.67;0.05108;2098.8;MG;1.5;;;;
ODH-03;165.5;167.61;56.16;4.02;0.15675;749.8;MG;2.11;;;;
ODH-03;167.61;169.11;5.25;0.31;0.01458;2468.3;MG;1.5;;;;
ODH-03;169.11;189.45;-1;-1;-1;-1;INT;20.34;;;;
ODH-04;0;1.5;42.92;0.02;0.02149;1949.7;SL;1.5;;;;
ODH-04;1.5;3;44.59;0.02;0.02402;1915.1;SL;1.5;;;;
ODH-04;3;4.5;24.51;0.02;0.01562;2935.7;SL;1.5;;;;
ODH-04;4.5;6;52.63;0.01;0.03801;1702.2;SL;1.5;;;;
ODH-04;6;7.5;57.46;0.01;0.02675;1457.6;SL;1.5;;;;
ODH-04;7.5;9;44.41;0.01;0.01698;1758.7;SL;1.5;;;;
ODH-04;9;10.5;31.3;0.06;0.02209;2962;SL;1.5;;;;
ODH-04;10.5;15.5;47.57;0.02;0.03416;4268.5;INT;5;;;;
ODH-04;15.5;17;58.84;0.04;0.04532;853.4;MG;1.5;;;;
ODH-04;17;18.5;64.38;0.06;0.04199;414.4;MG;1.5;;;;
ODH-04;18.5;20;65.78;0.03;0.0316;474.5;MG;1.5;;;;
ODH-04;20;21.5;62.28;0.06;0.09197;617.7;MG;1.5;;;;
ODH-04;21.5;23;60.14;1.28;0.49224;470.1;MG;1.5;;;;
ODH-04;23;24.5;65.59;0.08;0.04239;318;MG;1.5;;;;
ODH-04;24.5;26;64.89;0.06;0.03502;309.1;MG;1.5;;;;
ODH-04;26;27.5;66.99;0.08;0.03823;302.6;MG;1.5;;;;
ODH-04;27.5;29;67.91;0.05;0.02135;229.7;MG;1.5;;;;
ODH-04;29;30.5;65.02;0.11;0.02774;321.4;MG;1.5;;;;
ODH-04;30.5;32;66.31;0.36;0.03239;345.1;MG;1.5;;;;
ODH-04;32;33.5;65.96;0.23;0.01095;223.2;MG;1.5;;;;
ODH-04;33.5;35;64.21;0.17;0.017;410;MG;1.5;;;;
ODH-04;35;36.5;64.79;0.18;0.04799;411.3;MG;1.5;;;;
ODH-04;36.5;38;62.71;0.25;0.08221;378.6;MG;1.5;;;;
ODH-04;38;39.5;66.16;0.05;0.026;413.5;MG;1.5;;;;
ODH-04;39.5;41;64.81;0.09;0.01872;631.7;MG;1.5;;;;
ODH-04;41;42.5;64.5;0.14;0.02603;671.8;MG;1.5;;;;
ODH-04;42.5;44;63.21;0.1;0.04081;422.4;MG;1.5;;;;
ODH-04;44;45.5;65.26;0.09;0.03188;471.4;MG;1.5;;;;
ODH-04;45.5;47;65.81;0.11;0.03241;368.8;MG;1.5;;;;
ODH-04;47;48.5;65.05;0.12;0.02342;447.9;MG;1.5;;;;
ODH-04;48.5;50;61;0.15;0.04694;584.8;MG;1.5;;;;
ODH-04;50;51.5;63.7;0.25;0.02533;582.2;MG;1.5;;;;
ODH-04;51.5;53;65.09;0.11;0.03671;708;MG;1.5;;;;
ODH-04;53;54.5;64.69;0.19;0.04679;657.1;MG;1.5;;;;
ODH-04;54.5;56;65.92;0.16;0.039;575.3;MG;1.5;;;;
ODH-04;56;57.5;64.93;0.14;0.07142;485;MG;1.5;;;;
ODH-04;57.5;59;60.61;0.16;0.07761;565.1;MG;1.5;;;;
ODH-04;59;60.5;58.65;1.4;0.19003;592;MG;1.5;;;;
ODH-04;60.5;62;56.27;0.31;0.10043;607.1;MG;1.5;;;;
ODH-04;62;63.5;59.97;0.55;0.11951;629.8;MG;1.5;;;;
ODH-04;63.5;65;61.18;0.21;0.07868;693.8;MG;1.5;;;;
ODH-04;65;66.5;68.44;2.77;0.51445;640.5;MG;1.5;;;;
ODH-04;66.5;68;58.5;3.76;0.31433;961.3;MG;1.5;;;;
ODH-04;68;69.5;44.26;2.56;0.48802;2023.1;MG;1.5;;;;
ODH-04;69.5;71;59.92;3.95;0.3527;884.1;MG;1.5;;;;
ODH-04;71;72.5;61.25;3.11;0.67008;746.7;MG;1.5;;;;
ODH-04;72.5;74;56.27;1.73;0.0464;1462.3;MG;1.5;;;;
ODH-04;74;75.5;61.41;5.3;0.18551;1034.3;MG;1.5;;;;
ODH-04;75.5;77;59.46;3.8;0.12361;1183.4;MG;1.5;;;;
ODH-04;77;78.5;57.59;4.36;0.14397;1197.9;MG;1.5;;;;
ODH-04;78.5;80;24.67;2.44;0.0599;1718.8;FLL;1.5;;;;
ODH-04;80;100.05;-1;-1;-1;-1;INT;20.05;;;;
ODH-05;0;3;35.93;0.03;0.0197;2109.8;SL;3;;;;
ODH-05;3;6;54.18;0.02;0.04719;1290;MG;3;;;;
ODH-05;6;9;52.08;0.02;0.02099;1317.5;MG;3;;;;
ODH-05;9;12;67.73;0.08;0.01302;963.8;MG;3;;;;
ODH-05;12;15;64.5;0.04;0.05649;941.7;MG;3;;;;
ODH-05;15;18;46.43;0.09;0.25436;1616.7;MG;3;;;;
ODH-05;18;21;53.95;0.1;0.06862;1327.5;MG;3;;;;
ODH-05;21;24;46.29;0.05;0.11327;1760;MG;3;;;;
ODH-05;24;27;50.68;0.03;0.06666;1478.8;MG;3;;;;
ODH-05;27;30;55.77;0.06;0.01303;1188.4;MG;3;;;;
ODH-05;30;31.5;45.39;0.02;0.01234;1181.7;MG;1.5;;;;
ODH-05;31.5;33;63.94;0.05;0.01343;622.1;MG;1.5;;;;
ODH-05;33;34.5;51.21;1.2;0.15353;1491;MG;1.5;;;;
ODH-05;34.5;36;57.42;0.37;0.03028;839.5;MG;1.5;;;;
ODH-05;36;37.5;64.03;0.18;0.07666;684;MG;1.5;;;;
ODH-05;37.5;39;63.66;0.17;0.06676;787.6;MG;1.5;;;;
ODH-05;39;40.5;63.75;0.17;0.04296;647;MG;1.5;;;;
ODH-05;40.5;42;63.19;0.45;0.03584;578.8;MG;1.5;;;;
ODH-05;42;43.5;65.13;0.47;0.02895;633.8;MG;1.5;;;;
